studentid	mdate	mark	type	subjectid
221	2010.10.20	5	oral assessment	11
248	2010.10.20	3	oral assessment	11
316	2010.10.20	1	quiz	3
289	2010.10.20	1	quiz	3
219	2010.10.20	1	quiz	3
224	2010.10.20	1	quiz	3
226	2010.10.20	1	quiz	3
312	2010.10.20	1	quiz	3
240	2010.10.20	1	quiz	3
319	2010.10.20	5	topic test	3
262	2010.10.20	5	topic test	3
233	2010.10.20	4	topic test	3
234	2010.10.20	5	topic test	3
250	2010.10.20	4	topic test	3
235	2010.10.20	3	topic test	3
216	2010.10.20	4	topic test	3
263	2010.10.20	4	topic test	3
295	2010.10.20	3	topic test	3
253	2010.10.20	4	topic test	3
288	2010.10.20	4	topic test	3
304	2010.10.20	4	topic test	3
231	2010.10.20	5	topic test	3
265	2010.10.20	4	topic test	3
286	2010.10.20	4	topic test	3
273	2010.10.20	5	topic test	3
230	2010.10.20	4	topic test	3
310	2010.10.20	3	topic test	3
276	2010.10.20	4	topic test	3
247	2010.10.20	5	topic test	3
238	2010.10.20	5	topic test	3
239	2010.10.20	5	topic test	3
296	2010.10.20	4	topic test	3
284	2010.10.20	5	topic test	3
232	2010.10.20	5	topic test	3
266	2010.10.20	3	topic test	3
246	2010.10.20	4	topic test	3
317	2010.10.20	4	topic test	3
300	2010.10.20	3	topic test	3
287	2010.10.20	4	topic test	3
244	2010.10.20	4	topic test	3
181	2010.10.20	5	topic test	3
302	2010.10.20	4	topic test	3
283	2010.10.20	4	topic test	3
283	2010.10.20	5	topic test	3
252	2010.10.20	4	topic test	3
252	2010.10.20	5	topic test	3
243	2010.10.20	4	topic test	3
243	2010.10.20	5	topic test	3
295	2010.10.20	5	oral assessment	3
247	2010.10.20	5	quiz	3
239	2010.10.20	5	quiz	3
100	2010.10.20	5	topic test	3
39	2010.10.20	5	topic test	3
44	2010.10.20	4	topic test	3
11	2010.10.20	5	topic test	3
70	2010.10.20	5	topic test	3
42	2010.10.20	5	topic test	3
90	2010.10.20	5	topic test	3
32	2010.10.20	4	topic test	3
74	2010.10.20	4	topic test	3
13	2010.10.20	5	topic test	3
47	2010.10.20	4	topic test	3
48	2010.10.20	5	topic test	3
97	2010.10.20	5	topic test	3
5	2010.10.20	5	topic test	3
71	2010.10.20	5	topic test	3
86	2010.10.20	3	topic test	3
72	2010.10.20	4	topic test	3
1	2010.10.20	3	topic test	3
34	2010.10.20	5	topic test	3
29	2010.10.20	4	topic test	3
20	2010.10.20	4	topic test	3
22	2010.10.20	3	topic test	3
57	2010.10.20	5	topic test	3
3	2010.10.20	5	topic test	3
58	2010.10.20	5	topic test	3
30	2010.10.20	5	topic test	3
27	2010.10.20	4	topic test	3
55	2010.10.20	4	topic test	3
99	2010.10.20	1	topic test	3
75	2010.10.20	4	topic test	3
45	2010.10.20	3	topic test	3
36	2010.10.20	5	topic test	3
7	2010.10.20	4	topic test	3
7	2010.10.20	5	topic test	3
78	2010.10.20	4	topic test	3
78	2010.10.20	5	topic test	3
13	2010.10.20	3	oral assessment	3
27	2010.10.20	3	oral assessment	3
416	2010.10.20	4	oral assessment	12
219	2010.10.20	4	oral assessment	19
400	2010.10.20	3	oral assessment	12
282	2010.10.20	5	oral assessment	3
229	2010.10.20	5	oral assessment	3
299	2010.10.20	5	topic test	3
85	2010.10.20	5	quiz	12
417	2010.10.20	4	topic test	2
327	2010.10.20	4	topic test	2
358	2010.10.20	3	topic test	2
349	2010.10.20	4	topic test	2
393	2010.10.20	5	topic test	2
379	2010.10.20	3	topic test	2
336	2010.10.20	5	topic test	2
341	2010.10.20	5	topic test	2
404	2010.10.20	4	topic test	2
408	2010.10.20	5	topic test	2
373	2010.10.20	4	topic test	2
387	2010.10.20	5	topic test	2
411	2010.10.20	3	topic test	2
416	2010.10.20	4	topic test	2
342	2010.10.20	5	topic test	2
359	2010.10.20	4	topic test	2
346	2010.10.20	5	topic test	2
331	2010.10.20	3	topic test	2
419	2010.10.20	3	topic test	2
382	2010.10.20	4	topic test	2
375	2010.10.20	4	topic test	2
399	2010.10.20	4	topic test	2
332	2010.10.20	4	topic test	2
425	2010.10.20	4	topic test	2
403	2010.10.20	3	topic test	2
421	2010.10.20	3	topic test	2
405	2010.10.20	3	topic test	2
343	2010.10.20	5	topic test	2
326	2010.10.20	5	topic test	2
369	2010.10.20	4	topic test	2
355	2010.10.20	4	topic test	2
377	2010.10.20	5	topic test	2
407	2010.10.20	3	topic test	2
330	2010.10.20	4	topic test	2
348	2010.10.20	4	topic test	2
321	2010.10.20	5	topic test	2
392	2010.10.20	5	topic test	2
358	2010.10.20	5	quiz	12
346	2010.10.20	5	quiz	12
334	2010.10.20	4	quiz	12
421	2010.10.20	2	quiz	12
368	2010.10.20	5	quiz	12
402	2010.10.20	5	topic test	2
350	2010.10.20	4	topic test	2
381	2010.10.20	4	topic test	2
374	2010.10.20	4	topic test	2
380	2010.10.20	2	topic test	2
391	2010.10.20	4	topic test	2
338	2010.10.20	3	topic test	2
413	2010.10.20	4	topic test	2
376	2010.10.20	5	topic test	2
395	2010.10.20	4	topic test	2
383	2010.10.20	5	topic test	2
337	2010.10.20	4	topic test	2
361	2010.10.20	4	topic test	2
386	2010.10.20	3	topic test	2
394	2010.10.20	4	topic test	2
410	2010.10.20	4	topic test	2
371	2010.10.20	2	topic test	2
335	2010.10.20	4	topic test	2
322	2010.10.20	4	topic test	2
401	2010.10.20	3	topic test	2
340	2010.10.20	4	topic test	2
320	2010.10.20	4	topic test	2
378	2010.10.20	4	topic test	2
351	2010.10.20	4	topic test	2
420	2010.10.20	3	topic test	2
412	2010.10.20	2	topic test	2
389	2010.10.20	3	topic test	2
385	2010.10.20	5	topic test	2
372	2010.10.20	3	topic test	2
414	2010.10.20	3	topic test	2
323	2010.10.20	5	topic test	2
406	2010.10.20	3	topic test	2
316	2010.10.20	4	quiz	6
289	2010.10.20	5	quiz	6
307	2010.10.20	4	quiz	6
278	2010.10.20	2	quiz	6
277	2010.10.20	4	quiz	6
290	2010.10.20	5	quiz	6
281	2010.10.20	3	quiz	6
222	2010.10.20	4	quiz	6
280	2010.10.20	4	quiz	6
270	2010.10.20	4	quiz	6
219	2010.10.20	2	quiz	6
313	2010.10.20	5	quiz	6
224	2010.10.20	3	quiz	6
309	2010.10.20	5	quiz	6
292	2010.10.20	4	quiz	6
229	2010.10.20	3	quiz	6
226	2010.10.20	3	quiz	6
227	2010.10.20	3	quiz	6
312	2010.10.20	2	quiz	6
285	2010.10.20	5	quiz	6
318	2010.10.20	2	quiz	6
256	2010.10.20	3	quiz	6
271	2010.10.20	3	quiz	6
272	2010.10.20	5	quiz	6
299	2010.10.20	3	quiz	6
267	2010.10.20	4	quiz	6
268	2010.10.20	3	quiz	6
282	2010.10.20	3	quiz	6
240	2010.10.20	2	quiz	6
270	2010.10.20	5	home test	6
290	2010.10.20	5	home test	6
303	2010.10.20	5	home test	6
308	2010.10.20	1	oral assessment	6
226	2010.10.20	1	oral assessment	6
223	2010.10.20	5	quiz	6
314	2010.10.20	4	quiz	6
306	2010.10.20	3	quiz	6
76	2010.10.20	4	oral assessment	14
50	2010.10.20	3	oral assessment	14
64	2010.10.20	5	oral assessment	14
262	2010.10.20	4	quiz	13
263	2010.10.20	4	quiz	13
297	2010.10.20	4	oral assessment	13
251	2010.10.20	4	quiz	13
253	2010.10.20	4	quiz	13
308	2010.10.20	4	oral assessment	13
308	2010.10.20	4	quiz	13
274	2010.10.20	4	quiz	13
257	2010.10.20	5	quiz	13
266	2010.10.20	4	quiz	13
272	2010.10.20	5	quiz	13
267	2010.10.20	4	quiz	13
268	2010.10.20	4	quiz	13
151	2010.10.20	5	quiz	12
316	2010.10.20	5	quiz	12
114	2010.10.20	5	quiz	3
178	2010.10.20	5	quiz	3
139	2010.10.20	3	quiz	3
138	2010.10.20	5	quiz	3
120	2010.10.20	3	quiz	3
147	2010.10.20	4	quiz	3
192	2010.10.20	5	quiz	3
154	2010.10.20	5	quiz	3
148	2010.10.20	4	quiz	3
144	2010.10.20	5	quiz	3
123	2010.10.20	4	quiz	3
202	2010.10.20	4	quiz	3
151	2010.10.20	5	quiz	3
200	2010.10.20	4	quiz	3
206	2010.10.20	4	quiz	3
201	2010.10.20	3	quiz	3
56	2010.10.20	5	lesson work	5
114	2010.10.20	5	quiz	3
178	2010.10.20	4	quiz	3
139	2010.10.20	5	quiz	3
138	2010.10.20	5	quiz	3
120	2010.10.20	4	quiz	3
147	2010.10.20	5	quiz	3
192	2010.10.20	5	quiz	3
154	2010.10.20	5	quiz	3
148	2010.10.20	5	quiz	3
144	2010.10.20	5	quiz	3
123	2010.10.20	5	quiz	3
202	2010.10.20	5	quiz	3
151	2010.10.20	5	quiz	3
200	2010.10.20	3	quiz	3
206	2010.10.20	5	quiz	3
201	2010.10.20	3	quiz	3
178	2010.10.20	5	lesson work	3
114	2010.10.20	4	topic test	6
104	2010.10.20	3	topic test	6
178	2010.10.20	2	topic test	6
146	2010.10.20	5	topic test	6
205	2010.10.20	2	topic test	6
135	2010.10.20	1	topic test	6
108	2010.10.20	5	topic test	6
153	2010.10.20	2	topic test	6
138	2010.10.20	4	topic test	6
426	2010.10.20	3	topic test	6
119	2010.10.20	3	topic test	6
120	2010.10.20	4	topic test	6
147	2010.10.20	1	topic test	6
137	2010.10.20	5	topic test	6
175	2010.10.20	5	topic test	6
192	2010.10.20	4	topic test	6
154	2010.10.20	2	topic test	6
167	2010.10.20	4	topic test	6
148	2010.10.20	3	topic test	6
179	2010.10.20	5	topic test	6
168	2010.10.20	1	topic test	6
152	2010.10.20	4	topic test	6
144	2010.10.20	4	topic test	6
136	2010.10.20	5	topic test	6
156	2010.10.20	3	topic test	6
157	2010.10.20	2	topic test	6
123	2010.10.20	3	topic test	6
143	2010.10.20	4	topic test	6
202	2010.10.20	1	topic test	6
96	2010.10.20	1	topic test	6
151	2010.10.20	2	topic test	6
142	2010.10.20	5	topic test	6
126	2010.10.20	1	topic test	6
200	2010.10.20	3	topic test	6
206	2010.10.20	2	topic test	6
175	2010.10.20	5	lesson work	6
104	2010.10.20	5	oral assessment	6
146	2010.10.20	5	oral assessment	6
205	2010.10.20	5	oral assessment	6
108	2010.10.20	5	oral assessment	6
120	2010.10.20	5	oral assessment	6
175	2010.10.20	5	oral assessment	6
179	2010.10.20	5	oral assessment	6
152	2010.10.20	5	oral assessment	6
136	2010.10.20	5	oral assessment	6
156	2010.10.20	5	oral assessment	6
143	2010.10.20	5	oral assessment	6
142	2010.10.20	5	oral assessment	6
206	2010.10.20	5	oral assessment	6
426	2010.10.20	5	oral assessment	6
307	2010.10.20	4	quiz	12
222	2010.10.20	5	quiz	12
270	2010.10.20	5	quiz	12
264	2010.10.20	3	quiz	12
309	2010.10.20	3	quiz	12
292	2010.10.20	4	quiz	12
285	2010.10.20	4	quiz	12
256	2010.10.20	3	quiz	12
272	2010.10.20	4	quiz	12
299	2010.10.20	5	quiz	12
299	2010.10.20	5	oral assessment	17
41	2010.10.20	5	topic test	5
31	2010.10.20	4	topic test	5
6	2010.10.20	4	topic test	5
80	2010.10.20	1	topic test	5
102	2010.10.20	1	topic test	5
53	2010.10.20	2	topic test	5
83	2010.10.20	5	topic test	5
212	2010.10.20	4	topic test	5
85	2010.10.20	5	topic test	5
81	2010.10.20	5	topic test	5
89	2010.10.20	4	topic test	5
46	2010.10.20	4	topic test	5
94	2010.10.20	4	topic test	5
82	2010.10.20	1	topic test	5
15	2010.10.20	3	topic test	5
77	2010.10.20	5	topic test	5
76	2010.10.20	5	topic test	5
16	2010.10.20	4	topic test	5
38	2010.10.20	3	topic test	5
63	2010.10.20	3	topic test	5
62	2010.10.20	2	topic test	5
61	2010.10.20	2	topic test	5
67	2010.10.20	5	topic test	5
65	2010.10.20	5	topic test	5
95	2010.10.20	2	topic test	5
24	2010.10.20	5	topic test	5
25	2010.10.20	5	topic test	5
26	2010.10.20	4	topic test	5
35	2010.10.20	5	topic test	5
73	2010.10.20	5	topic test	5
68	2010.10.20	5	topic test	5
33	2010.10.20	5	topic test	5
87	2010.10.20	5	topic test	5
423	2010.10.21	4	oral assessment	6
114	2010.10.21	5	oral assessment	10
206	2010.10.21	2	oral assessment	10
249	2010.10.21	1	quiz	2
218	2010.10.21	5	quiz	2
221	2010.10.21	3	quiz	2
251	2010.10.21	5	quiz	2
291	2010.10.21	2	quiz	2
223	2010.10.21	1	quiz	2
225	2010.10.21	5	quiz	2
298	2010.10.21	5	quiz	2
254	2010.10.21	5	quiz	2
255	2010.10.21	5	quiz	2
228	2010.10.21	5	quiz	2
293	2010.10.21	5	quiz	2
305	2010.10.21	4	quiz	2
248	2010.10.21	4	quiz	2
279	2010.10.21	5	quiz	2
274	2010.10.21	5	quiz	2
236	2010.10.21	5	quiz	2
245	2010.10.21	4	quiz	2
237	2010.10.21	4	quiz	2
257	2010.10.21	5	quiz	2
314	2010.10.21	1	quiz	2
258	2010.10.21	5	quiz	2
315	2010.10.21	4	quiz	2
311	2010.10.21	4	quiz	2
259	2010.10.21	2	quiz	2
213	2010.10.21	5	quiz	2
260	2010.10.21	4	quiz	2
301	2010.10.21	5	quiz	2
306	2010.10.21	2	quiz	2
261	2010.10.21	5	quiz	2
241	2010.10.21	4	quiz	2
220	2010.10.21	5	quiz	2
242	2010.10.21	1	quiz	2
214	2010.10.21	3	quiz	2
86	2010.10.21	4	topic test	10
210	2010.10.21	5	topic test	10
190	2010.10.21	3	topic test	10
229	2010.10.21	2	quiz	10
240	2010.10.21	5	quiz	10
219	2010.10.21	1	quiz	10
290	2010.10.21	5	quiz	10
290	2010.10.21	5	quiz	10
222	2010.10.21	4	quiz	10
209	2010.10.21	2	quiz	17
2	2010.10.21	5	quiz	17
316	2010.10.21	5	quiz	12
289	2010.10.21	4	quiz	12
290	2010.10.21	5	quiz	12
308	2010.10.21	5	quiz	12
303	2010.10.21	5	quiz	12
229	2010.10.21	5	quiz	12
318	2010.10.21	5	quiz	12
267	2010.10.21	4	quiz	12
268	2010.10.21	5	quiz	12
240	2010.10.21	5	quiz	12
407	2010.10.21	4	oral assessment	10
114	2010.10.21	4	quiz	12
104	2010.10.21	4	quiz	12
116	2010.10.21	5	quiz	12
146	2010.10.21	5	quiz	12
180	2010.10.21	4	quiz	12
205	2010.10.21	4	quiz	12
137	2010.10.21	4	quiz	12
175	2010.10.21	5	quiz	12
167	2010.10.21	4	quiz	12
148	2010.10.21	5	quiz	12
156	2010.10.21	5	quiz	12
151	2010.10.21	4	quiz	12
106	2010.10.21	5	quiz	12
178	2010.10.21	4	quiz	12
184	2010.10.21	5	quiz	12
179	2010.10.21	5	quiz	12
199	2010.10.21	5	quiz	12
195	2010.10.21	5	quiz	12
143	2010.10.21	3	quiz	12
202	2010.10.21	3	quiz	12
278	2010.10.21	5	oral assessment	10
212	2010.10.21	5	quiz	10
81	2010.10.21	5	quiz	10
105	2010.10.21	5	quiz	10
115	2010.10.21	5	quiz	10
141	2010.10.21	5	quiz	10
187	2010.10.21	5	quiz	10
177	2010.10.21	4	quiz	10
118	2010.10.21	5	quiz	10
127	2010.10.21	4	quiz	10
204	2010.10.21	3	quiz	10
203	2010.10.21	3	quiz	10
194	2010.10.21	5	quiz	10
145	2010.10.21	5	quiz	10
186	2010.10.21	5	quiz	10
130	2010.10.21	4	quiz	10
183	2010.10.21	5	quiz	10
207	2010.10.21	5	quiz	10
98	2010.10.21	5	quiz	10
211	2010.10.21	5	quiz	10
133	2010.10.21	3	quiz	10
122	2010.10.21	5	quiz	10
171	2010.10.21	4	quiz	10
18	2010.10.21	5	quiz	10
188	2010.10.21	5	quiz	10
161	2010.10.21	5	quiz	10
197	2010.10.21	5	quiz	10
182	2010.10.21	5	quiz	10
165	2010.10.21	5	quiz	10
112	2010.10.21	5	quiz	10
170	2010.10.21	5	quiz	10
125	2010.10.21	4	quiz	10
110	2010.10.21	3	quiz	10
189	2010.10.21	3	quiz	10
191	2010.10.21	3	quiz	10
109	2010.10.21	3	quiz	10
189	2010.10.21	4	oral assessment	10
239	2010.10.21	3	quiz	14
284	2010.10.21	4	quiz	14
234	2010.10.21	3	quiz	14
285	2010.10.21	4	quiz	14
296	2010.10.21	4	quiz	14
250	2010.10.21	5	quiz	14
303	2010.10.21	4	quiz	14
243	2010.10.21	5	quiz	14
232	2010.10.21	5	quiz	14
422	2010.10.21	5	oral assessment	3
381	2010.10.21	5	home test	5
325	2010.10.21	5	home test	5
7	2010.10.21	4	oral assessment	5
39	2010.10.21	4	oral assessment	5
44	2010.10.21	5	oral assessment	5
42	2010.10.21	5	oral assessment	5
74	2010.10.21	5	oral assessment	5
13	2010.10.21	2	oral assessment	5
48	2010.10.21	5	oral assessment	5
97	2010.10.21	4	oral assessment	5
71	2010.10.21	2	oral assessment	5
34	2010.10.21	5	oral assessment	5
29	2010.10.21	5	oral assessment	5
20	2010.10.21	5	oral assessment	5
57	2010.10.21	4	oral assessment	5
58	2010.10.21	3	oral assessment	5
55	2010.10.21	5	oral assessment	5
75	2010.10.21	5	oral assessment	5
45	2010.10.21	3	oral assessment	5
276	2010.10.21	5	oral assessment	5
247	2010.10.21	4	oral assessment	5
238	2010.10.21	4	oral assessment	5
239	2010.10.21	5	oral assessment	5
296	2010.10.21	4	oral assessment	5
284	2010.10.21	4	oral assessment	5
232	2010.10.21	5	oral assessment	5
266	2010.10.21	5	oral assessment	5
246	2010.10.21	4	oral assessment	5
300	2010.10.21	5	oral assessment	5
287	2010.10.21	5	oral assessment	5
244	2010.10.21	5	oral assessment	5
181	2010.10.21	5	oral assessment	5
302	2010.10.21	5	oral assessment	5
269	2010.10.21	4	oral assessment	5
294	2010.10.21	2	oral assessment	5
316	2010.10.21	3	oral assessment	5
289	2010.10.21	3	oral assessment	5
307	2010.10.21	4	oral assessment	5
277	2010.10.21	4	oral assessment	5
290	2010.10.21	5	oral assessment	5
281	2010.10.21	4	oral assessment	5
222	2010.10.21	5	oral assessment	5
308	2010.10.21	3	oral assessment	5
270	2010.10.21	5	oral assessment	5
219	2010.10.21	3	oral assessment	5
313	2010.10.21	5	oral assessment	5
224	2010.10.21	2	oral assessment	5
303	2010.10.21	4	oral assessment	5
309	2010.10.21	3	oral assessment	5
181	2010.10.21	4	quiz	5
368	2010.10.21	5	lesson work	14
391	2010.10.21	5	lesson work	14
245	2010.10.22	4	quiz	5
237	2010.10.22	4	quiz	5
257	2010.10.22	5	quiz	5
314	2010.10.22	1	quiz	5
258	2010.10.22	3	quiz	5
311	2010.10.22	2	quiz	5
259	2010.10.22	1	quiz	5
213	2010.10.22	1	quiz	5
260	2010.10.22	5	quiz	5
301	2010.10.22	3	quiz	5
306	2010.10.22	1	quiz	5
261	2010.10.22	5	quiz	5
241	2010.10.22	4	quiz	5
220	2010.10.22	5	quiz	5
242	2010.10.22	3	quiz	5
214	2010.10.22	5	quiz	5
229	2010.10.22	3	quiz	5
226	2010.10.22	2	quiz	5
227	2010.10.22	1	quiz	5
217	2010.10.22	3	quiz	5
312	2010.10.22	1	quiz	5
285	2010.10.22	5	quiz	5
275	2010.10.22	4	quiz	5
318	2010.10.22	4	quiz	5
256	2010.10.22	5	quiz	5
271	2010.10.22	4	quiz	5
272	2010.10.22	4	quiz	5
299	2010.10.22	1	quiz	5
267	2010.10.22	5	quiz	5
268	2010.10.22	3	quiz	5
282	2010.10.22	2	quiz	5
240	2010.10.22	2	quiz	5
285	2010.10.22	5	quiz	5
271	2010.10.22	5	quiz	5
267	2010.10.22	5	quiz	5
282	2010.10.22	5	quiz	5
402	2010.10.22	5	quiz	5
381	2010.10.22	5	quiz	5
374	2010.10.22	5	quiz	5
391	2010.10.22	5	quiz	5
338	2010.10.22	3	quiz	5
325	2010.10.22	4	quiz	5
395	2010.10.22	1	quiz	5
383	2010.10.22	3	quiz	5
337	2010.10.22	3	quiz	5
386	2010.10.22	4	quiz	5
410	2010.10.22	5	quiz	5
371	2010.10.22	2	quiz	5
335	2010.10.22	4	quiz	5
401	2010.10.22	5	quiz	5
351	2010.10.22	5	quiz	5
412	2010.10.22	1	quiz	5
406	2010.10.22	2	quiz	5
69	2010.10.22	5	quiz	4
93	2010.10.22	5	quiz	4
43	2010.10.22	4	quiz	4
10	2010.10.22	5	quiz	4
52	2010.10.22	5	quiz	4
51	2010.10.22	5	quiz	4
59	2010.10.22	5	quiz	4
12	2010.10.22	5	quiz	4
14	2010.10.22	5	quiz	4
49	2010.10.22	5	quiz	4
17	2010.10.22	5	quiz	4
37	2010.10.22	4	quiz	4
88	2010.10.22	5	quiz	4
19	2010.10.22	4	quiz	4
21	2010.10.22	4	quiz	4
66	2010.10.22	5	quiz	4
23	2010.10.22	5	quiz	4
40	2010.10.22	4	quiz	4
60	2010.10.22	5	quiz	4
92	2010.10.22	5	quiz	4
64	2010.10.22	4	quiz	4
4	2010.10.22	3	quiz	4
417	2010.10.22	3	quiz	4
327	2010.10.22	5	quiz	4
358	2010.10.22	5	quiz	4
349	2010.10.22	4	quiz	4
379	2010.10.22	5	quiz	4
336	2010.10.22	5	quiz	4
341	2010.10.22	5	quiz	4
404	2010.10.22	5	quiz	4
373	2010.10.22	4	quiz	4
387	2010.10.22	5	quiz	4
411	2010.10.22	3	quiz	4
342	2010.10.22	5	quiz	4
359	2010.10.22	5	quiz	4
346	2010.10.22	4	quiz	4
331	2010.10.22	3	quiz	4
419	2010.10.22	5	quiz	4
382	2010.10.22	5	quiz	4
375	2010.10.22	5	quiz	4
399	2010.10.22	4	quiz	4
332	2010.10.22	5	quiz	4
425	2010.10.22	4	quiz	4
403	2010.10.22	4	quiz	4
421	2010.10.22	4	quiz	4
405	2010.10.22	5	quiz	4
343	2010.10.22	4	quiz	4
326	2010.10.22	5	quiz	4
369	2010.10.22	5	quiz	4
355	2010.10.22	5	quiz	4
377	2010.10.22	5	quiz	4
407	2010.10.22	5	quiz	4
330	2010.10.22	4	quiz	4
348	2010.10.22	5	quiz	4
321	2010.10.22	5	quiz	4
392	2010.10.22	5	quiz	4
98	2010.10.22	5	oral assessment	4
110	2010.10.22	5	oral assessment	4
117	2010.10.22	5	oral assessment	4
159	2010.10.22	1	oral assessment	4
113	2010.10.22	5	oral assessment	4
199	2010.10.22	5	oral assessment	4
162	2010.10.22	5	oral assessment	4
166	2010.10.22	5	oral assessment	4
78	2010.10.22	5	topic test	1
34	2010.10.22	4	topic test	1
29	2010.10.22	5	topic test	1
20	2010.10.22	2	topic test	1
57	2010.10.22	4	topic test	1
58	2010.10.22	4	topic test	1
30	2010.10.22	4	topic test	1
27	2010.10.22	3	topic test	1
55	2010.10.22	4	topic test	1
99	2010.10.22	1	topic test	1
75	2010.10.22	4	topic test	1
45	2010.10.22	4	topic test	1
91	2010.10.22	3	topic test	1
158	2010.10.22	3	quiz	12
176	2010.10.22	4	quiz	12
117	2010.10.22	5	quiz	12
164	2010.10.22	5	quiz	12
159	2010.10.22	2	quiz	12
210	2010.10.22	2	quiz	12
185	2010.10.22	2	quiz	12
107	2010.10.22	5	quiz	12
134	2010.10.22	4	quiz	12
208	2010.10.22	3	quiz	12
190	2010.10.22	3	quiz	12
196	2010.10.22	2	quiz	12
149	2010.10.22	2	quiz	12
173	2010.10.22	4	quiz	12
160	2010.10.22	2	quiz	12
163	2010.10.22	5	quiz	12
174	2010.10.22	4	quiz	12
131	2010.10.22	4	quiz	12
172	2010.10.22	5	quiz	12
216	2010.10.22	4	quiz	17
249	2010.10.22	1	quiz	17
218	2010.10.22	1	quiz	17
288	2010.10.22	3	quiz	17
264	2010.10.22	2	quiz	17
231	2010.10.22	4	quiz	17
248	2010.10.22	2	quiz	17
230	2010.10.22	4	quiz	17
247	2010.10.22	4	quiz	17
315	2010.10.22	1	quiz	17
299	2010.10.22	4	quiz	17
300	2010.10.22	3	quiz	17
181	2010.10.22	4	quiz	17
416	2010.10.22	4	quiz	13
375	2010.10.22	2	quiz	13
363	2010.10.22	4	quiz	13
344	2010.10.22	4	quiz	13
367	2010.10.22	4	quiz	13
324	2010.10.22	5	quiz	13
392	2010.10.22	5	quiz	13
378	2010.10.22	4	quiz	5
69	2010.10.23	3	topic test	5
8	2010.10.23	2	topic test	5
9	2010.10.23	5	topic test	5
93	2010.10.23	3	topic test	5
43	2010.10.23	3	topic test	5
10	2010.10.23	5	topic test	5
52	2010.10.23	4	topic test	5
51	2010.10.23	2	topic test	5
59	2010.10.23	5	topic test	5
12	2010.10.23	5	topic test	5
2	2010.10.23	4	topic test	5
14	2010.10.23	5	topic test	5
49	2010.10.23	3	topic test	5
28	2010.10.23	3	topic test	5
17	2010.10.23	5	topic test	5
37	2010.10.23	4	topic test	5
88	2010.10.23	5	topic test	5
66	2010.10.23	5	topic test	5
50	2010.10.23	3	topic test	5
23	2010.10.23	1	topic test	5
40	2010.10.23	2	topic test	5
60	2010.10.23	2	topic test	5
64	2010.10.23	3	topic test	5
417	2010.10.23	1	topic test	3
327	2010.10.23	4	topic test	3
358	2010.10.23	3	topic test	3
349	2010.10.23	3	topic test	3
379	2010.10.23	4	topic test	3
336	2010.10.23	3	topic test	3
341	2010.10.23	5	topic test	3
404	2010.10.23	5	topic test	3
408	2010.10.23	3	topic test	3
373	2010.10.23	3	topic test	3
387	2010.10.23	5	topic test	3
411	2010.10.23	3	topic test	3
416	2010.10.23	2	topic test	3
342	2010.10.23	5	topic test	3
359	2010.10.23	3	topic test	3
346	2010.10.23	5	topic test	3
331	2010.10.23	2	topic test	3
419	2010.10.23	2	topic test	3
382	2010.10.23	4	topic test	3
375	2010.10.23	1	topic test	3
399	2010.10.23	2	topic test	3
332	2010.10.23	4	topic test	3
425	2010.10.23	1	topic test	3
403	2010.10.23	3	topic test	3
421	2010.10.23	1	topic test	3
405	2010.10.23	1	topic test	3
343	2010.10.23	5	topic test	3
326	2010.10.23	5	topic test	3
369	2010.10.23	5	topic test	3
355	2010.10.23	5	topic test	3
377	2010.10.23	4	topic test	3
407	2010.10.23	4	topic test	3
330	2010.10.23	2	topic test	3
348	2010.10.23	5	topic test	3
321	2010.10.23	5	topic test	3
392	2010.10.23	5	topic test	3
417	2010.10.23	5	topic test	3
327	2010.10.23	3	topic test	3
358	2010.10.23	3	topic test	3
349	2010.10.23	2	topic test	3
393	2010.10.23	3	topic test	3
379	2010.10.23	4	topic test	3
336	2010.10.23	3	topic test	3
341	2010.10.23	5	topic test	3
404	2010.10.23	4	topic test	3
408	2010.10.23	3	topic test	3
373	2010.10.23	2	topic test	3
387	2010.10.23	5	topic test	3
411	2010.10.23	5	topic test	3
416	2010.10.23	3	topic test	3
342	2010.10.23	4	topic test	3
359	2010.10.23	4	topic test	3
346	2010.10.23	5	topic test	3
331	2010.10.23	3	topic test	3
419	2010.10.23	4	topic test	3
382	2010.10.23	5	topic test	3
375	2010.10.23	1	topic test	3
399	2010.10.23	4	topic test	3
332	2010.10.23	5	topic test	3
425	2010.10.23	3	topic test	3
403	2010.10.23	2	topic test	3
421	2010.10.23	1	topic test	3
405	2010.10.23	1	topic test	3
343	2010.10.23	5	topic test	3
326	2010.10.23	5	topic test	3
369	2010.10.23	5	topic test	3
355	2010.10.23	2	topic test	3
377	2010.10.23	5	topic test	3
407	2010.10.23	5	topic test	3
330	2010.10.23	2	topic test	3
348	2010.10.23	5	topic test	3
321	2010.10.23	5	topic test	3
392	2010.10.23	5	topic test	3
158	2010.10.23	2	topic test	14
164	2010.10.23	4	topic test	14
159	2010.10.23	2	topic test	14
185	2010.10.23	2	topic test	14
134	2010.10.23	2	topic test	14
208	2010.10.23	3	topic test	14
190	2010.10.23	1	topic test	14
166	2010.10.23	5	topic test	14
190	2010.10.23	3	quiz	14
65	2010.10.23	5	topic test	14
66	2010.10.23	4	topic test	14
35	2010.10.23	4	topic test	14
73	2010.10.23	4	topic test	14
92	2010.10.23	3	topic test	14
